timestamp   actual_x   actual_y     actual_t    x_estimate    y_estimate   t_estimate   x_mes  y_mes  t_mes 
0.05 0.00307547 2.24011e-06 -3.40946e-05 0.0242078 -0.0490613 0.128901 0.0244191 -0.0495558 0.129777 -3.08324e-06
0.05 0.0170163 1.90503e-05 3.31096e-05 0.119582 0.0699726 0.0149853 0.200943 0.188596 -0.0872453 0.00339545
0.05 0.0351105 9.01105e-05 0.000445531 0.12347 0.0338587 -0.00965168 0.095578 -0.0365082 -0.0472034 0.0129649
0.05 0.0496016 0.000189756 0.00109681 0.141736 0.0435302 -0.0231896 0.152576 0.0726004 -0.0511757 0.0215964
0.05 0.0676725 0.000405529 0.00228691 0.137889 0.0461493 -0.0942566 0.0561651 0.063983 -0.245687 0.0215964
0.05 0.0893716 0.000787877 0.00431697 0.20553 0.0203167 -0.0860223 0.413444 -0.0878533 -0.0709162 0.02875
0.051 0.107459 0.00121725 0.00669504 0.246044 0.0079497 -0.0332082 0.363121 -0.0561181 0.0793954 0.0484003
0.049 0.121933 0.00165497 0.00903683 0.280735 0.000138855 0.0151095 0.398885 -0.0501082 0.119884 0.0484003
0.05 0.143594 0.00248736 0.0132839 0.287252 -0.00225918 -0.0273551 0.190102 -0.0103405 -0.133496 0.0544395
0.05 0.161588 0.0033327 0.0172981 0.290403 -0.0116588 -0.00675094 0.187673 -0.0764695 0.0308235 0.0752625
0.05 0.179486 0.00430224 0.0218922 0.293597 -0.00902296 -0.00538181 0.185638 0.0119212 -0.0135923 0.0752625
0.05 0.197336 0.00542346 0.0270462 0.312543 -0.0153829 0.0133298 0.320669 -0.0667484 0.0460456 0.0776147
0.05 0.211652 0.00643562 0.031566 0.320066 -0.0340431 0.0500393 0.26546 -0.191681 0.125956 0.0976232
0.051 0.232992 0.00813579 0.0388805 0.318943 -0.045016 0.0437222 0.13316 -0.140243 0.0143242 0.0976232
0.049 0.250733 0.00971905 0.0452397 0.337396 -0.0360126 0.0589988 0.343049 0.0307881 0.0784144 0.0974908
0.05 0.268401 0.0114652 0.052112 0.360499 -0.0370118 0.0472843 0.406821 -0.0494766 0.00592158 0.102751
