Desired velocity: 0.2
Waypoints: 
-1.01,-0.57
1.46,-0.57
1.46,1.45
-1,1.45
x       y       velocity      desired_vel     vel_output      heading    crosstrack_error   steer_angle
0 0 0 0.2 36.46 0 -0.57 -100
0 0 0 0.2 41.92 0 -0.57 -100
0 0 0 0.2 47.38 0 -0.57 -100
0 0 0 0.2 52.84 0 -0.57 -100
0 0 0.038 0.2 51.3726 0 -0.57 -100
0 0 0.07 0.2 49.9616 0 -0.57 -100
0 0 0.093 0.2 49.3177 0 -0.57 -100
0 0 0.129 0.2 45.676 0 -0.57 -100
0 0 0.151 0.2 43.6037 0 -0.57 -100
0 0 0.177 0.2 40.2016 0 -0.57 -100
0 0 0.19 0.2 38.4596 0 -0.57 -100
0 0 0.19 0.2 38.7326 0 -0.57 -100
0 0 0.212 0.2 34.995 0 -0.57 -100
0 0 0.212 0.2 34.6674 0 -0.57 -100
0 0 0.21 0.2 34.7044 0 -0.57 -100
0 0 0.21 0.2 34.4314 0 -0.57 -100
0 0 0.196 0.2 36.7106 0 -0.57 -100
0 0 0.196 0.2 36.8198 0 -0.57 -100
0 0 0.183 0.2 39.2989 0 -0.57 -100
0 0 0.177 0.2 40.8568 0 -0.57 -100
0 0 0.172 0.2 42.3962 0 -0.57 -100
0 0 0.172 0.2 43.1606 0 -0.57 -100
0 0 0.164 0.2 45.3834 0 -0.57 -100
0 0 0.167 0.2 45.8193 0 -0.57 -100
0 0 0.174 0.2 45.4441 0 -0.57 -100
0 0 0.174 0.2 46.1539 0 -0.57 -100
0 0 0.184 0.2 45.0407 0 -0.57 -100
0 0 0.184 0.2 45.4775 0 -0.57 -100
0 0 0.193 0.2 44.2736 0 -0.57 -100
0 0 0.193 0.2 44.4647 0 -0.57 -100
0 0 0.202 0.2 43.0151 0 -0.57 -100
0 0 0.202 0.2 42.9605 0 -0.57 -100
0 0 0.212 0.2 41.0829 0 -0.57 -100
0 0 0.211 0.2 40.9376 0 -0.57 -100
0 0 0.207 0.2 41.3665 0 -0.57 -100
0 0 0.207 0.2 41.1754 0 -0.57 -100
0 0 0.206 0.2 41.1666 0 -0.57 -100
0 0 0.206 0.2 41.0028 0 -0.57 -100
0 0 0.206 0.2 40.839 0 -0.57 -100
0 0 0.202 0.2 41.4044 0 -0.57 -100
0 0 0.199 0.2 41.8967 0 -0.57 -100
0 0 0.197 0.2 42.2886 0 -0.57 -100
0 0 0.197 0.2 42.3705 0 -0.57 -100
0 0 0.2 0.2 41.9055 0 -0.57 -100
0 0 0.201 0.2 41.7232 0 -0.57 -100
0 0 0.201 0.2 41.6959 0 -0.57 -100
0 0 0.199 0.2 42.0332 0 -0.57 -100
0 0 0.199 0.2 42.0605 0 -0.57 -100
0 0 0.176 0.2 46.2807 0 -0.57 -100
0 0 0.172 0.2 47.6651 0 -0.57 -100
0 0 0.171 0.2 48.6118 0 -0.57 -100
0 0 0.173 0.2 49.0389 0 -0.57 -100
0 0 0.176 0.2 49.2291 0 -0.57 -100
0 0 0.179 0.2 49.3374 0 -0.57 -100
0 0 0.181 0.2 49.5461 0 -0.57 -100
0 0 0.186 0.2 49.1533 0 -0.57 -100
0 0 0.19 0.2 48.8063 0 -0.57 -100
0 0 0.194 0.2 48.3501 0 -0.57 -100
0 0 0.2 0.2 47.4201 0 -0.57 -100
0 0 0.202 0.2 47.0555 0 -0.57 -100
0 0 0.203 0.2 46.8186 0 -0.57 -100
0 0 0.204 0.2 46.5544 0 -0.57 -100
0 0 0.205 0.2 46.2629 0 -0.57 -100
0 0 0.202 0.2 46.6733 0 -0.57 -100
0 0 0.202 0.2 46.6187 0 -0.57 -100
0 0 0.202 0.2 46.5641 0 -0.57 -100
