-1.01,-0.57
1.46,-0.57
1.46,1.45
-1,1.45
x       y       velocity      desired_vel     vel_output      heading    crosstrack_error   steer_angle
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0.003 0 0 0 0 0
0 0 0.03 0 0 0 0 0
0 0 0.052 0 0 0 0 0
0 0 0.067 0 0 0 0 0
0 0 0.076 0 0 0 0 0
0 0 0.089 0 0 0 0 0
0 0 0.101 0 0 0 0 0
0 0 0.108 0 0 0 0 0
0 0 0.113 0 0 0 0 0
0 0 0.12 0 0 0 0 0
0 0 0.128 0 0 0 0 0
0 0 0.135 0 0 0 0 0
0 0 0.142 0 0 0 0 0
0 0 0.146 0 0 0 0 0
0 0 0.154 0 0 0 0 0
0 0 0.159 0 0 0 0 0
0 0 0.16 0 0 0 0 0
0 0 0.161 0 0 0 0 0
0 0 0.163 0 0 0 0 0
0 0 0.169 0 0 0 0 0
0 0 0.171 0 0 0 0 0
0 0 0.171 0 0 0 0 0
0 0 0.174 0 0 0 0 0
0 0 0.178 0 0 0 0 0
0 0 0.179 0 0 0 0 0
0 0 0.179 0 0 0 0 0
0 0 0.182 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.19 0 0 0 0 0
0 0 0.188 0 0 0 0 0
0 0 0.187 0 0 0 0 0
0 0 0.188 0 0 0 0 0
0 0 0.191 0 0 0 0 0
0 0 0.191 0 0 0 0 0
0 0 0.191 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.187 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.192 0 0 0 0 0
0 0 0.194 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.194 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.191 0 0 0 0 0
0 0 0.192 0 0 0 0 0
0 0 0.194 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.191 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.188 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.19 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.194 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.192 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.204 0 0 0 0 0
0 0 0.205 0 0 0 0 0
0 0 0.206 0 0 0 0 0
0 0 0.206 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.205 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.206 0 0 0 0 0
0 0 0.205 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.205 0 0 0 0 0
0 0 0.209 0 0 0 0 0
0 0 0.208 0 0 0 0 0
0 0 0.208 0 0 0 0 0
0 0 0.207 0 0 0 0 0
0 0 0.204 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.204 0 0 0 0 0
0 0 0.207 0 0 0 0 0
0 0 0.206 0 0 0 0 0
0 0 0.207 0 0 0 0 0
0 0 0.209 0 0 0 0 0
0 0 0.208 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.207 0 0 0 0 0
0 0 0.205 0 0 0 0 0
0 0 0.206 0 0 0 0 0
0 0 0.209 0 0 0 0 0
0 0 0.204 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.209 0 0 0 0 0
0 0 0.219 0 0 0 0 0
0 0 0.221 0 0 0 0 0
0 0 0.215 0 0 0 0 0
0 0 0.208 0 0 0 0 0
0 0 0.204 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.194 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.205 0 0 0 0 0
0 0 0.205 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.204 0 0 0 0 0
0 0 0.205 0 0 0 0 0
0 0 0.204 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.194 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.2 0 0 0 0 0
