Desired velocity: 0.2
Waypoints: 
-1.01,-0.57
1.46,-0.57
1.46,1.45
-1,1.45
x       y       velocity      desired_vel     vel_output      heading    crosstrack_error   steer_angle
-1.02582 0.476607 0 0.2 22 1.44681 -1.04661 -31.4696
-1.02584 0.476619 0 0.2 24 1.44671 -1.04662 -31.4949
-1.02584 0.476608 0.002 0.2 25.78 1.44696 -1.04661 -30.9444
-1.02582 0.476582 0.01 0.2 26.88 1.44686 -1.04658 -29.0301
-1.02586 0.476145 0.027 0.2 26.91 1.44912 -1.04614 -24.3336
-1.0244 0.470126 0.038 0.2 27.43 1.4483 -1.04013 -21.821
-1.02402 0.46661 0.049 0.2 27.84 1.44907 -1.03661 -18.9069
-1.02345 0.462573 0.061 0.2 28.03 1.44882 -1.03257 -15.9815
-1.0231 0.457877 0.069 0.2 28.54 1.45039 -1.02788 -13.547
-1.02216 0.447854 0.081 0.2 28.53 1.45661 -1.01785 -8.82635
-1.02172 0.442835 0.091 0.2 28.62 1.45706 -1.01284 -6.12343
-1.02115 0.43721 0.097 0.2 29.05 1.45741 -1.00721 -4.40908
-1.02069 0.431591 0.105 0.2 29.2 1.45761 -1.00159 -2.21609
-1.01856 0.420929 0.106 0.2 30.04 1.46033 -0.990929 -0.989702
-1.01679 0.416471 0.11 0.2 30.54 1.45964 -0.986471 -0.0275057
-1.0155 0.411308 0.111 0.2 31.33 1.46029 -0.981308 0.540497
-1.01422 0.406033 0.112 0.2 32.11 1.45967 -0.976033 0.792897
-1.01097 0.395934 0.115 0.2 32.66 1.46142 -0.965934 2.3144
-1.01002 0.391119 0.118 0.2 33.18 1.46248 -0.961119 3.51538
-1.00844 0.386235 0.119 0.2 33.89 1.46118 -0.956235 3.60136
-1.00668 0.381231 0.122 0.2 34.37 1.46259 -0.951231 4.91229
-1.00282 0.370442 0.126 0.2 34.71 1.46375 -0.940442 6.63333
-1.00103 0.364822 0.129 0.2 35.12 1.45971 -0.934822 6.60999
-0.999266 0.358688 0.132 0.2 35.5 1.46262 -0.928688 8.37912
-0.997422 0.352337 0.135 0.2 35.85 1.46193 -0.922337 9.25535
-0.994714 0.344498 0.14 0.2 35.95 1.46049 -0.914498 10.5584
-0.990658 0.329602 0.147 0.2 35.78 1.4575 -0.899602 12.3554
-0.988367 0.322899 0.151 0.2 35.87 1.4586 -0.892899 14.0446
-0.986394 0.316261 0.155 0.2 35.92 1.4538 -0.886261 14.2505
-0.982045 0.302489 0.157 0.2 36.15 1.44887 -0.872489 14.2414
-0.979344 0.295735 0.159 0.2 36.36 1.44799 -0.865735 14.9323
-0.976421 0.289062 0.16 0.2 36.66 1.44199 -0.859062 14.0429
-0.973211 0.281702 0.162 0.2 36.84 1.44163 -0.851702 14.9234
-0.967198 0.266134 0.164 0.2 37 1.43203 -0.836134 13.9379
-0.965552 0.258786 0.169 0.2 36.81 1.43903 -0.828786 17.6106
-0.962599 0.252586 0.171 0.2 36.9 1.43472 -0.822586 17.4845
-0.959792 0.24636 0.169 0.2 37.41 1.43375 -0.81636 17.0281
-0.954577 0.232078 0.169 0.2 37.72 1.43146 -0.802078 17.3426
-0.951533 0.22453 0.168 0.2 38.14 1.42805 -0.79453 16.6586
-0.949233 0.216516 0.166 0.2 38.68 1.42591 -0.786516 16.02
-0.946302 0.208032 0.167 0.2 38.91 1.42488 -0.778032 16.6303
-0.941156 0.193002 0.167 0.2 39.24 1.39669 -0.763002 10.4993
-0.937947 0.184981 0.173 0.2 38.91 1.41865 -0.754981 18.5546
-0.935403 0.178773 0.179 0.2 38.52 1.41502 -0.748773 20.0206
-0.932757 0.171737 0.179 0.2 38.73 1.41655 -0.741737 20.9517
-0.929628 0.164053 0.177 0.2 39.16 1.41049 -0.734053 19.3654
-0.923554 0.148255 0.178 0.2 39.28 1.4106 -0.718255 20.9969
-0.919784 0.140381 0.182 0.2 39.06 1.40715 -0.710381 22.122
-0.916885 0.13239 0.183 0.2 39.13 1.40924 -0.70239 23.6843
-0.911724 0.117711 0.186 0.2 38.97 1.39414 -0.687711 22.2043
-0.90885 0.110662 0.185 0.2 39.22 1.39788 -0.680662 23.4697
-0.906133 0.102958 0.184 0.2 39.48 1.3918 -0.672958 22.3101
-0.903283 0.094573 0.183 0.2 39.75 1.38888 -0.664573 22.028
-0.896368 0.075935 0.183 0.2 39.92 1.38341 -0.645935 22.5095
-0.892243 0.066953 0.186 0.2 39.76 1.37811 -0.636953 23.2053
-0.886902 0.059226 0.189 0.2 39.57 1.37579 -0.629226 24.5645
-0.882873 0.05169 0.192 0.2 39.35 1.37276 -0.62169 25.764
-0.876441 0.037392 0.193 0.2 39.32 1.36738 -0.607392 26.4592
-0.872618 0.029855 0.191 0.2 39.61 1.36593 -0.599855 26.2416
-0.868217 0.022058 0.19 0.2 39.81 1.36244 -0.592058 25.9339
-0.863536 0.01394 0.19 0.2 39.91 1.36086 -0.58394 26.5566
-0.855429 -0.001791 0.19 0.2 40.01 1.35171 -0.568209 26.2966
-0.851265 -0.009463 0.193 0.2 39.78 1.34939 -0.560537 27.9677
-0.847037 -0.017026 0.194 0.2 39.74 1.3475 -0.552974 28.965
-0.843523 -0.024568 0.193 0.2 39.91 1.3401 -0.545432 27.7681
-0.835283 -0.040498 0.191 0.2 40.2 1.33738 -0.529502 28.6227
-0.830431 -0.048867 0.189 0.2 40.51 1.33384 -0.521133 28.1623
-0.825711 -0.057611 0.19 0.2 40.51 1.32573 -0.512389 27.9249
-0.821131 -0.065646 0.192 0.2 40.39 1.32467 -0.504354 29.8521
-0.813023 -0.081258 0.194 0.2 40.25 1.31759 -0.488742 31.6393
-0.808285 -0.088418 0.195 0.2 40.2 1.3163 -0.481582 33.0555
-0.803413 -0.095735 0.195 0.2 40.25 1.3136 -0.474265 33.7295
-0.799174 -0.103635 0.194 0.2 40.41 1.31175 -0.466365 34.3061
-0.790481 -0.120127 0.195 0.2 40.36 1.30427 -0.449873 36.1647
-0.786222 -0.127738 0.195 0.2 40.41 1.30498 -0.442262 37.9322
