Desired velocity: 0.5
Waypoints: 
-1.01,-0.57
1.46,-0.57
1.46,1.45
-1,1.45
x       y       velocity      desired_vel     vel_output      heading    crosstrack_error   steer_angle
-1.11344 1.00131 0 0.5 55 1.7366 -1.57131 42.0828
-1.11339 1.00129 0 0.5 60 1.73739 -1.57129 42.2822
-1.11339 1.0013 0 0.5 65 1.7374 -1.5713 42.2853
-1.11476 1.00142 0.007 0.5 69.23 1.75706 -1.57142 48.4053
-1.11355 1.00104 0.007 0.5 74.16 1.73845 -1.57104 43.6818
-1.11421 0.998039 0.075 0.5 71.61 1.72041 -1.56804 50.1041
-1.1147 0.991584 0.075 0.5 75.86 1.71752 -1.56158 49.4194
-1.11352 0.981521 0.178 0.5 68.78 1.71746 -1.55152 66.2165
-1.10843 0.954133 0.178 0.5 72 1.71426 -1.52413 65.9205
-1.1035 0.937374 0.263 0.5 65.87 1.68973 -1.50737 74.0282
-1.0992 0.919695 0.288 0.5 65.49 1.68426 -1.4897 77.269
-1.09496 0.902021 0.321 0.5 63.98 1.67327 -1.47202 80.5034
-1.09061 0.867668 0.321 0.5 65.77 1.66974 -1.43767 80.8688
-1.08524 0.850713 0.349 0.5 64.48 1.64844 -1.42071 80.8437
-1.08041 0.834578 0.357 0.5 65.11 1.63581 -1.40458 79.6726
-1.07583 0.818453 0.356 0.5 66.65 1.6364 -1.38845 80.355
-1.06129 0.786206 0.361 0.5 67.54 1.60372 -1.35621 74.3846
-1.05433 0.771107 0.356 0.5 69.48 1.59407 -1.34111 71.762
-1.0489 0.756496 0.356 0.5 70.92 1.58183 -1.3265 69.3488
-1.0428 0.742357 0.354 0.5 72.58 1.57217 -1.31236 67.2211
-1.02959 0.712517 0.36 0.5 73.38 1.54678 -1.28252 63.3597
-1.02132 0.69829 0.355 0.5 75.33 1.53204 -1.26829 59.4317
-1.01191 0.683579 0.356 0.5 76.67 1.51548 -1.25358 56.1882
-1.00341 0.667766 0.358 0.5 77.89 1.49897 -1.23777 53.2284
-0.988467 0.636496 0.358 0.5 79.31 1.4771 -1.2065 49.4308
-0.980856 0.621427 0.375 0.5 78.86 1.46548 -1.19143 50.6634
-0.973343 0.60618 0.375 0.5 80.11 1.4576 -1.17618 49.6048
-0.964805 0.590562 0.394 0.5 79.27 1.44477 -1.16056 51.0797
-0.947338 0.556801 0.394 0.5 80.33 1.42537 -1.1268 48.4652
-0.93957 0.538431 0.409 0.5 79.74 1.41628 -1.10843 50.5013
-0.930626 0.520213 0.422 0.5 79.22 1.40539 -1.09021 51.7543
-0.921526 0.502687 0.427 0.5 79.45 1.39538 -1.07269 51.6293
-0.902396 0.467454 0.427 0.5 80.18 1.37973 -1.03745 50.6052
-0.891316 0.449974 0.437 0.5 79.81 1.37256 -1.01997 52.4219
-0.881567 0.433264 0.439 0.5 80.22 1.36146 -1.00326 51.5567
-0.873497 0.415675 0.439 0.5 80.83 1.34802 -0.985675 49.8052
-0.852169 0.378834 0.442 0.5 81.11 1.3335 -0.948834 50.418
-0.840572 0.361678 0.444 0.5 81.47 1.32478 -0.931678 50.4318
-0.829806 0.344343 0.447 0.5 81.7 1.28994 -0.914343 44.1244
-0.817065 0.326922 0.448 0.5 82.12 1.30126 -0.896922 49.1625
-0.79762 0.294131 0.448 0.5 82.64 1.26156 -0.864131 42.9064
-0.784672 0.276044 0.45 0.5 82.94 1.27557 -0.846044 49.1371
-0.772019 0.259532 0.452 0.5 83.22 1.27091 -0.829532 50.5124
-0.759315 0.243544 0.456 0.5 83.26 1.25347 -0.813544 49.1237
-0.737254 0.208265 0.456 0.5 83.7 1.24002 -0.778265 50.5656
-0.725259 0.191395 0.458 0.5 83.92 1.23282 -0.761395 51.6671
-0.712164 0.173318 0.462 0.5 83.9 1.21802 -0.743318 51.6061
-0.69889 0.155853 0.462 0.5 84.28 1.21403 -0.725853 53.3145
1000 1000 0.464 0.5 84.44 1.39628 -1000.57 -44.1762
-0.663684 0.113433 0.468 0.5 84.36 1.19234 -0.683433 56.3401
-0.638175 0.080328 0.47 0.5 84.46 1.17488 -0.650328 58.3475
-0.623853 0.063461 0.47 0.5 84.76 1.16541 -0.633461 59.1242
-0.607643 0.0471 0.47 0.5 85.06 1.15464 -0.6171 59.5804
-0.592455 0.030717 0.474 0.5 84.92 1.13651 -0.600717 59.326
-0.56657 -0.004711 0.478 0.5 84.74 1.12632 -0.565289 65.3416
-0.554039 -0.021668 0.478 0.5 84.96 1.12463 -0.548332 68.7326
-0.540324 -0.038062 0.478 0.5 85.18 1.12066 -0.531938 71.5501
-0.525393 -0.054258 0.479 0.5 85.29 1.11699 -0.515742 74.7906
-0.509796 -0.069795 0.477 0.5 85.72 1.10013 -0.500205 73.8543
-0.480032 -0.098453 0.478 0.5 85.84 1.06254 -0.471547 72.0652
-0.46216 -0.113239 0.479 0.5 85.95 1.06249 -0.456761 76.3599
-0.446162 -0.125577 0.476 0.5 86.49 1.04308 -0.444423 74.1048
-0.41072 -0.151656 0.477 0.5 86.62 1.01671 -0.418344 75.3124
-0.393857 -0.165065 0.478 0.5 86.74 1.01372 -0.404935 78.9063
-0.377591 -0.177002 0.48 0.5 86.74 0.991942 -0.392998 77.6332
-0.359922 -0.188847 0.483 0.5 86.61 0.976751 -0.381153 78.3425
-0.319478 -0.213765 0.479 0.5 87.22 0.95235 -0.356235 79.4136
-0.301226 -0.223683 0.483 0.5 86.99 0.928618 -0.346317 77.8084
-0.281952 -0.235424 0.48 0.5 87.49 0.914185 -0.334576 77.5262
