-1.01,-0.57
1.46,-0.57
1.46,1.45
x       y       velocity      desired_vel     vel_output      heading    crosstrack_error   steer_angle
-1.44089 0.36186 0 0.3 -nan 0.632283 -0.93186 -100
-1.4409 0.361846 0.000370418 0.3 -nan 0.632735 -0.931846 -100
-1.44091 0.361874 0.000588649 0.3 -nan 0.632977 -0.931874 -100
-1.44091 0.361869 0.000116543 0.3 -nan 0.632851 -0.931869 -100
-1.44089 0.361936 0.00139692 0.3 -nan 0.631744 -0.931936 -100
-1.44098 0.362186 0.00526795 0.3 -nan 0.631567 -0.932186 -100
-1.44128 0.362485 0.0085903 0.3 -nan 0.631437 -0.932485 -100
-1.44095 0.362484 0.00677819 0.3 -nan 0.630881 -0.932484 -100
-1.43608 0.3596 0.113178 0.3 -nan 0.629725 -0.9296 -100
-1.43476 0.35862 0.0328652 0.3 -nan 0.628556 -0.92862 -100
-1.43336 0.357932 0.0310934 0.3 -nan 0.628738 -0.927932 -100
-1.43149 0.35648 0.0474247 0.3 -nan 0.630064 -0.92648 -100
-1.42869 0.353483 0.081495 0.3 -nan 0.629651 -0.923483 -100
-1.42735 0.352254 0.0366354 0.3 -nan 0.634137 -0.922254 -100
-1.4261 0.350973 0.0358769 0.3 -nan 0.635576 -0.920973 -100
-1.42489 0.349373 0.0401046 0.3 -nan 0.636129 -0.919373 -100
-1.42203 0.346608 0.0795238 0.3 -nan 0.638877 -0.916608 -100
-1.42069 0.345326 0.0371269 0.3 -nan 0.637136 -0.915326 -100
-1.41939 0.343729 0.0410535 0.3 -nan 0.640118 -0.913729 -100
-1.418 0.342316 0.039663 0.3 -nan 0.643405 -0.912316 -100
-1.41514 0.339122 0.0858144 0.3 -nan 0.643774 -0.909122 -100
-1.41368 0.337606 0.0420543 0.3 -nan 0.646868 -0.907606 -100
-1.41246 0.336215 0.0370746 0.3 -nan 0.64582 -0.906215 -100
-1.41118 0.335026 0.0348986 0.3 -nan 0.648482 -0.905026 -100
-1.40843 0.332139 0.0796074 0.3 -nan 0.650125 -0.902139 -100
-1.40716 0.330507 0.0414039 0.3 -nan 0.654003 -0.900507 -100
-1.40596 0.328971 0.0390776 0.3 -nan 0.65462 -0.898971 -100
-1.4045 0.327441 0.0422439 0.3 -nan 0.654149 -0.897441 -100
-1.40178 0.32439 0.0818712 0.3 -nan 0.65931 -0.89439 -100
-1.40022 0.32272 0.0456644 0.3 -nan 0.660162 -0.89272 -100
-1.39895 0.321199 0.0395689 0.3 -nan 0.661716 -0.891199 -100
-1.39773 0.319766 0.0376666 0.3 -nan 0.661376 -0.889766 -100
-1.39493 0.316428 0.0871991 0.3 -nan 0.66616 -0.886428 -100
-1.39362 0.314828 0.0413106 0.3 -nan 0.664319 -0.884828 -100
-1.39239 0.313374 0.0380347 0.3 -nan 0.669246 -0.883374 -100
-1.39094 0.311503 0.0474651 0.3 -nan 0.671658 -0.881503 -100
-1.38818 0.308382 0.0832806 0.3 -nan 0.67274 -0.878382 -100
-1.38686 0.306971 0.0374386 0.3 -nan 0.674193 -0.876971 -100
-1.38557 0.305177 0.0455992 0.3 -nan 0.678147 -0.875177 -100
-1.38396 0.303553 0.0457426 0.3 -nan 0.681702 -0.873553 -100
-1.38073 0.299947 0.0969836 0.3 -nan 0.681877 -0.869947 -100
-1.3794 0.29807 0.0459553 0.3 -nan 0.685446 -0.86807 -100
-1.37782 0.296245 0.0483098 0.3 -nan 0.687602 -0.866245 -100
-1.37644 0.294663 0.0420339 0.3 -nan 0.687413 -0.864663 -100
-1.37395 0.291401 0.0820204 0.3 -nan 0.692446 -0.861401 -100
-1.37255 0.289705 0.044006 0.3 -nan 0.69439 -0.859705 -100
-1.37116 0.287941 0.0449191 0.3 -nan 0.694998 -0.857941 -100
-1.36936 0.286117 0.0512025 0.3 -nan 0.696607 -0.856117 -100
-1.36605 0.2822 0.102605 0.3 -nan 0.700943 -0.8522 -100
-1.3641 0.280332 0.0539819 0.3 -nan 0.702727 -0.850332 -100
-1.36227 0.278287 0.0549601 0.3 -nan 0.704916 -0.848287 -100
-1.36094 0.276513 0.0442965 0.3 -nan 0.706946 -0.846513 -100
-1.35818 0.273136 0.0872615 0.3 -nan 0.708691 -0.843136 -100
-1.35698 0.271623 0.0385918 0.3 -nan 0.710654 -0.841623 -100
-1.35583 0.270107 0.0380081 0.3 -nan 0.71299 -0.840107 -100
-1.35478 0.268583 0.0370586 0.3 -nan 0.712287 -0.838583 -100
-1.35254 0.265235 0.0805772 0.3 -nan 0.716564 -0.835235 -100
-1.35099 0.263415 0.0478707 0.3 -nan 0.717384 -0.833415 -100
-1.34974 0.261556 0.0447199 0.3 -nan 0.717113 -0.831556 -100
-1.34845 0.259699 0.0451966 0.3 -nan 0.720342 -0.829699 -100
-1.34562 0.256029 0.0928212 0.3 -nan 0.721854 -0.826029 -100
-1.34441 0.254073 0.0459983 0.3 -nan 0.723364 -0.824073 -100
-1.34308 0.252259 0.0449039 0.3 -nan 0.726316 -0.822259 -100
-1.34174 0.250672 0.0416027 0.3 -nan 0.726709 -0.820672 -100
-1.33944 0.247908 0.0718165 0.3 -nan 0.728204 -0.817908 -100
-1.33816 0.246563 0.0372376 0.3 -nan 0.731534 -0.816563 -100
-1.33705 0.245244 0.0344587 0.3 -nan 0.731925 -0.815244 -100
-1.33573 0.243683 0.040955 0.3 -nan 0.73243 -0.813683 -100
-1.3335 0.240569 0.0766304 0.3 -nan 0.736646 -0.810569 -100
-1.33235 0.23898 0.0392408 0.3 -nan 0.73737 -0.80898 -100
-1.33097 0.237636 0.0385471 0.3 -nan 0.73685 -0.807636 -100
-1.32973 0.236295 0.0364659 0.3 -nan 0.741137 -0.806295 -100
-1.32709 0.232711 0.0890512 0.3 -nan 0.743302 -0.802711 -100
-1.3258 0.231186 0.039981 0.3 -nan 0.744377 -0.801186 -100
-1.32443 0.229683 0.0405659 0.3 -nan 0.745562 -0.799683 -100
-1.32325 0.228231 0.0374118 0.3 -nan 0.747498 -0.798231 -100
-1.32055 0.224986 0.0845177 0.3 -nan 0.751826 -0.794986 -100
-1.31954 0.223665 0.0330332 0.3 -nan 0.751401 -0.793665 -100
-1.31849 0.222438 0.0324971 0.3 -nan 0.752231 -0.792438 -100
-1.31725 0.221149 0.0357866 0.3 -nan 0.749635 -0.791149 -100
-1.31488 0.217856 0.0812071 0.3 -nan 0.753819 -0.787856 -100
-1.3138 0.216402 0.0362847 0.3 -nan 0.755831 -0.786402 -100
-1.31257 0.21497 0.0376872 0.3 -nan 0.760091 -0.78497 -100
-1.31123 0.213208 0.0442721 0.3 -nan 0.760591 -0.783208 -100
-1.30878 0.209834 0.0833693 0.3 -nan 0.759683 -0.779834 -100
-1.30769 0.208342 0.0370693 0.3 -nan 0.761831 -0.778342 -100
-1.30654 0.206729 0.0396327 0.3 -nan 0.766241 -0.776729 -100
-1.30535 0.204953 0.042714 0.3 -nan 0.766632 -0.774953 -100
-1.30257 0.20157 0.0875697 0.3 -nan 0.769879 -0.77157 -100
-1.30134 0.199883 0.041764 0.3 -nan 0.77314 -0.769883 -100
-1.30015 0.198032 0.0439899 0.3 -nan 0.771606 -0.768032 -100
-1.29866 0.19622 0.0469382 0.3 -nan 0.773321 -0.76622 -100
-1.29617 0.192759 0.0854092 0.3 -nan 0.776711 -0.762759 -100
-1.2948 0.190911 0.0459861 0.3 -nan 0.775849 -0.760911 -100
-1.29342 0.189076 0.0458576 0.3 -nan 0.78008 -0.759076 -100
-1.29232 0.187093 0.045368 0.3 -nan 0.782952 -0.757093 -100
-1.28978 0.183558 0.0871562 0.3 -nan 0.781964 -0.753558 -100
-1.28876 0.182087 0.0357699 0.3 -nan 0.783161 -0.752087 -100
-1.28789 0.180636 0.0338277 0.3 -nan 0.786283 -0.750636 -100
-1.28688 0.179013 0.0381917 0.3 -nan 0.788354 -0.749013 -100
-1.2848 0.175909 0.0748573 0.3 -nan 0.787734 -0.745909 -100
-1.28383 0.174129 0.0405723 0.3 -nan 0.792327 -0.744129 -100
-1.28274 0.172317 0.0422286 0.3 -nan 0.795417 -0.742317 -100
-1.28161 0.17039 0.0447229 0.3 -nan 0.79546 -0.74039 -100
-1.27934 0.166566 0.088864 0.3 -nan 0.799535 -0.736566 -100
-1.27825 0.164718 0.0429748 0.3 -nan 0.80053 -0.734718 -100
-1.27703 0.162657 0.0477908 0.3 -nan 0.800048 -0.732657 -100
-1.27604 0.160797 0.0422573 0.3 -nan 0.804478 -0.730797 -100
-1.27491 0.158889 0.0442558 0.3 -nan 0.8058 -0.728889 -100
-1.27263 0.154817 0.0933674 0.3 -nan 0.808017 -0.724817 -100
-1.27153 0.152769 0.0465346 0.3 -nan 0.811736 -0.722769 -100
-1.27052 0.150853 0.0432797 0.3 -nan 0.813355 -0.720853 -100
-1.26792 0.146559 0.100508 0.3 -nan 0.816153 -0.716559 -100
-1.26669 0.144651 0.0453754 0.3 -nan 0.818216 -0.714651 -100
-1.26544 0.142664 0.0469285 0.3 -nan 0.818883 -0.712664 -100
-1.26406 0.14068 0.0482939 0.3 -nan 0.820782 -0.71068 -100
-1.26165 0.13645 0.0974047 0.3 -nan 0.824857 -0.70645 -100
-1.26026 0.134157 0.0536272 0.3 -nan 0.827193 -0.704157 -100
-1.25902 0.132072 0.0485962 0.3 -nan 0.829801 -0.702072 -100
-1.25766 0.130023 0.0491633 0.3 -nan 0.829752 -0.700023 -100
-1.25505 0.125853 0.0983395 0.3 -nan 0.836145 -0.695853 -100
-1.25385 0.123744 0.0485493 0.3 -nan 0.837786 -0.693744 -100
-1.25259 0.121504 0.051465 0.3 -nan 0.838604 -0.691504 -100
-1.25107 0.119145 0.0560831 0.3 -nan 0.839981 -0.689145 -100
-1.24863 0.11494 0.09721 0.3 -nan 0.843161 -0.68494 -100
-1.2474 0.112938 0.0470335 0.3 -nan 0.845451 -0.682938 -100
-1.24622 0.110963 0.0460066 0.3 -nan 0.849114 -0.680963 -100
-1.24478 0.108809 0.0517316 0.3 -nan 0.847306 -0.678809 -100
-1.24337 0.106615 0.0522681 0.3 -nan 0.852639 -0.676615 -100
-1.24074 0.102496 0.097641 0.3 -nan 0.856141 -0.672496 -100
-1.23946 0.100641 0.0451619 0.3 -nan 0.85446 -0.670641 -100
-1.23809 0.098672 0.0479738 0.3 -nan 0.858316 -0.668672 -100
-1.23556 0.09472 0.0938333 0.3 -nan 0.861568 -0.66472 -100
-1.23437 0.09269 0.0470932 0.3 -nan 0.863661 -0.66269 -100
-1.23282 0.090643 0.0512771 0.3 -nan 0.862905 -0.660643 -100
-1.23155 0.088518 0.0495055 0.3 -nan 0.863366 -0.658518 -100
-1.22901 0.084091 0.102153 0.3 -nan 0.870849 -0.654091 -100
-1.22705 0.081909 0.0586069 0.3 -nan 0.85968 -0.651909 -100
