x       y       velocity      desired_vel(40%)     vel_output      heading    crosstrack_error   steer_angle
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0.002 0 0 0 0 0
0 0 0.033 0 0 0 0 0
0 0 0.056 0 0 0 0 0
0 0 0.081 0 0 0 0 0
0 0 0.095 0 0 0 0 0
0 0 0.127 0 0 0 0 0
0 0 0.141 0 0 0 0 0
0 0 0.149 0 0 0 0 0
0 0 0.157 0 0 0 0 0
0 0 0.162 0 0 0 0 0
0 0 0.167 0 0 0 0 0
0 0 0.169 0 0 0 0 0
0 0 0.172 0 0 0 0 0
0 0 0.176 0 0 0 0 0
0 0 0.178 0 0 0 0 0
0 0 0.183 0 0 0 0 0
0 0 0.179 0 0 0 0 0
0 0 0.181 0 0 0 0 0
0 0 0.183 0 0 0 0 0
0 0 0.184 0 0 0 0 0
0 0 0.178 0 0 0 0 0
0 0 0.177 0 0 0 0 0
0 0 0.179 0 0 0 0 0
0 0 0.18 0 0 0 0 0
0 0 0.177 0 0 0 0 0
0 0 0.178 0 0 0 0 0
0 0 0.18 0 0 0 0 0
0 0 0.182 0 0 0 0 0
0 0 0.182 0 0 0 0 0
0 0 0.181 0 0 0 0 0
0 0 0.184 0 0 0 0 0
0 0 0.183 0 0 0 0 0
0 0 0.182 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.186 0 0 0 0 0
0 0 0.188 0 0 0 0 0
0 0 0.187 0 0 0 0 0
0 0 0.184 0 0 0 0 0
0 0 0.184 0 0 0 0 0
0 0 0.187 0 0 0 0 0
0 0 0.184 0 0 0 0 0
0 0 0.179 0 0 0 0 0
0 0 0.183 0 0 0 0 0
0 0 0.187 0 0 0 0 0
0 0 0.182 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.187 0 0 0 0 0
0 0 0.188 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.181 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.187 0 0 0 0 0
0 0 0.188 0 0 0 0 0
0 0 0.186 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.191 0 0 0 0 0
0 0 0.19 0 0 0 0 0
0 0 0.187 0 0 0 0 0
0 0 0.184 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.187 0 0 0 0 0
0 0 0.187 0 0 0 0 0
0 0 0.187 0 0 0 0 0
0 0 0.187 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.187 0 0 0 0 0
0 0 0.183 0 0 0 0 0
0 0 0.182 0 0 0 0 0
0 0 0.184 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.186 0 0 0 0 0
0 0 0.186 0 0 0 0 0
0 0 0.186 0 0 0 0 0
0 0 0.184 0 0 0 0 0
0 0 0.183 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.187 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.191 0 0 0 0 0
0 0 0.188 0 0 0 0 0
0 0 0.186 0 0 0 0 0
0 0 0.188 0 0 0 0 0
0 0 0.188 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.186 0 0 0 0 0
0 0 0.183 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.183 0 0 0 0 0
0 0 0.182 0 0 0 0 0
0 0 0.183 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.186 0 0 0 0 0
0 0 0.184 0 0 0 0 0
0 0 0.183 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.183 0 0 0 0 0
0 0 0.182 0 0 0 0 0
0 0 0.184 0 0 0 0 0
0 0 0.186 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.186 0 0 0 0 0
