x       y       velocity      desired_vel     vel_output      heading    crosstrack_error   steer_angle
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0.003 0 0 0 0 0
0 0 0.021 0 0 0 0 0
0 0 0.035 0 0 0 0 0
0 0 0.049 0 0 0 0 0
0 0 0.06 0 0 0 0 0
0 0 0.067 0 0 0 0 0
0 0 0.079 0 0 0 0 0
0 0 0.085 0 0 0 0 0
0 0 0.091 0 0 0 0 0
0 0 0.094 0 0 0 0 0
0 0 0.097 0 0 0 0 0
0 0 0.102 0 0 0 0 0
0 0 0.105 0 0 0 0 0
0 0 0.108 0 0 0 0 0
0 0 0.11 0 0 0 0 0
0 0 0.113 0 0 0 0 0
0 0 0.118 0 0 0 0 0
0 0 0.122 0 0 0 0 0
0 0 0.127 0 0 0 0 0
0 0 0.129 0 0 0 0 0
0 0 0.133 0 0 0 0 0
0 0 0.136 0 0 0 0 0
0 0 0.138 0 0 0 0 0
0 0 0.139 0 0 0 0 0
0 0 0.14 0 0 0 0 0
0 0 0.143 0 0 0 0 0
0 0 0.148 0 0 0 0 0
0 0 0.152 0 0 0 0 0
0 0 0.155 0 0 0 0 0
0 0 0.156 0 0 0 0 0
0 0 0.16 0 0 0 0 0
0 0 0.163 0 0 0 0 0
0 0 0.165 0 0 0 0 0
0 0 0.168 0 0 0 0 0
0 0 0.171 0 0 0 0 0
0 0 0.173 0 0 0 0 0
0 0 0.174 0 0 0 0 0
0 0 0.175 0 0 0 0 0
0 0 0.176 0 0 0 0 0
0 0 0.178 0 0 0 0 0
0 0 0.183 0 0 0 0 0
0 0 0.186 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.184 0 0 0 0 0
0 0 0.184 0 0 0 0 0
0 0 0.184 0 0 0 0 0
0 0 0.186 0 0 0 0 0
0 0 0.188 0 0 0 0 0
0 0 0.192 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.187 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.188 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.19 0 0 0 0 0
0 0 0.19 0 0 0 0 0
0 0 0.191 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.19 0 0 0 0 0
0 0 0.192 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.192 0 0 0 0 0
0 0 0.192 0 0 0 0 0
0 0 0.194 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.191 0 0 0 0 0
0 0 0.192 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.205 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.204 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.194 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.204 0 0 0 0 0
0 0 0.205 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.204 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.206 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.204 0 0 0 0 0
0 0 0.205 0 0 0 0 0
0 0 0.206 0 0 0 0 0
0 0 0.204 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.205 0 0 0 0 0
0 0 0.205 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.205 0 0 0 0 0
0 0 0.204 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.202 0 0 0 0 0
