x       y       velocity      desired_vel     vel_output      heading    crosstrack_error   steer_angle
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0
0 0 0.002 0 0 0 0 0
0 0 0.01 0 0 0 0 0
0 0 0.023 0 0 0 0 0
0 0 0.039 0 0 0 0 0
0 0 0.05 0 0 0 0 0
0 0 0.064 0 0 0 0 0
0 0 0.069 0 0 0 0 0
0 0 0.083 0 0 0 0 0
0 0 0.089 0 0 0 0 0
0 0 0.095 0 0 0 0 0
0 0 0.099 0 0 0 0 0
0 0 0.107 0 0 0 0 0
0 0 0.11 0 0 0 0 0
0 0 0.114 0 0 0 0 0
0 0 0.117 0 0 0 0 0
0 0 0.122 0 0 0 0 0
0 0 0.124 0 0 0 0 0
0 0 0.126 0 0 0 0 0
0 0 0.128 0 0 0 0 0
0 0 0.133 0 0 0 0 0
0 0 0.136 0 0 0 0 0
0 0 0.139 0 0 0 0 0
0 0 0.14 0 0 0 0 0
0 0 0.143 0 0 0 0 0
0 0 0.145 0 0 0 0 0
0 0 0.147 0 0 0 0 0
0 0 0.149 0 0 0 0 0
0 0 0.152 0 0 0 0 0
0 0 0.156 0 0 0 0 0
0 0 0.161 0 0 0 0 0
0 0 0.163 0 0 0 0 0
0 0 0.166 0 0 0 0 0
0 0 0.167 0 0 0 0 0
0 0 0.168 0 0 0 0 0
0 0 0.169 0 0 0 0 0
0 0 0.171 0 0 0 0 0
0 0 0.174 0 0 0 0 0
0 0 0.177 0 0 0 0 0
0 0 0.177 0 0 0 0 0
0 0 0.176 0 0 0 0 0
0 0 0.175 0 0 0 0 0
0 0 0.175 0 0 0 0 0
0 0 0.177 0 0 0 0 0
0 0 0.18 0 0 0 0 0
0 0 0.182 0 0 0 0 0
0 0 0.182 0 0 0 0 0
0 0 0.182 0 0 0 0 0
0 0 0.182 0 0 0 0 0
0 0 0.183 0 0 0 0 0
0 0 0.184 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.186 0 0 0 0 0
0 0 0.186 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.185 0 0 0 0 0
0 0 0.187 0 0 0 0 0
0 0 0.189 0 0 0 0 0
0 0 0.192 0 0 0 0 0
0 0 0.192 0 0 0 0 0
0 0 0.191 0 0 0 0 0
0 0 0.19 0 0 0 0 0
0 0 0.191 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.194 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.192 0 0 0 0 0
0 0 0.192 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.194 0 0 0 0 0
0 0 0.192 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.204 0 0 0 0 0
0 0 0.205 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.204 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.204 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.175 0 0 0 0 0
0 0 0.16 0 0 0 0 0
0 0 0.159 0 0 0 0 0
0 0 0.162 0 0 0 0 0
0 0 0.166 0 0 0 0 0
0 0 0.173 0 0 0 0 0
0 0 0.179 0 0 0 0 0
0 0 0.184 0 0 0 0 0
0 0 0.186 0 0 0 0 0
0 0 0.191 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.194 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.179 0 0 0 0 0
0 0 0.172 0 0 0 0 0
0 0 0.171 0 0 0 0 0
0 0 0.172 0 0 0 0 0
0 0 0.172 0 0 0 0 0
0 0 0.173 0 0 0 0 0
0 0 0.178 0 0 0 0 0
0 0 0.182 0 0 0 0 0
0 0 0.186 0 0 0 0 0
0 0 0.19 0 0 0 0 0
0 0 0.194 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.192 0 0 0 0 0
0 0 0.192 0 0 0 0 0
0 0 0.191 0 0 0 0 0
0 0 0.191 0 0 0 0 0
0 0 0.192 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.196 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.2 0 0 0 0 0
0 0 0.202 0 0 0 0 0
0 0 0.211 0 0 0 0 0
0 0 0.211 0 0 0 0 0
0 0 0.205 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.201 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.192 0 0 0 0 0
0 0 0.19 0 0 0 0 0
0 0 0.19 0 0 0 0 0
0 0 0.19 0 0 0 0 0
0 0 0.191 0 0 0 0 0
0 0 0.19 0 0 0 0 0
0 0 0.191 0 0 0 0 0
0 0 0.194 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.198 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.194 0 0 0 0 0
0 0 0.193 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.199 0 0 0 0 0
0 0 0.213 0 0 0 0 0
0 0 0.216 0 0 0 0 0
0 0 0.21 0 0 0 0 0
0 0 0.207 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.194 0 0 0 0 0
0 0 0.19 0 0 0 0 0
0 0 0.191 0 0 0 0 0
0 0 0.195 0 0 0 0 0
0 0 0.197 0 0 0 0 0
0 0 0.203 0 0 0 0 0
0 0 0.209 0 0 0 0 0
0 0 0.214 0 0 0 0 0
0 0 0.217 0 0 0 0 0
